Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"GMR Airports Ltd","Construction & Engineering","86826.46","-155.25","-0.15","-102.00","9.09","31.48","22.38","-","-211.99","-0.93"
"Marico Ltd","FMCG - Personal Products","85012.81","57.40","28.71","20.39","7.57","39.06","59.20","1.44","13.75","11.47"
"Hindustan Petroleum Corp Ltd","Oil & Gas - Refining & Marketing","84655.42","5.29","23.53","1.80","0.19","5.08","3.55","5.28","329.43","75.19"
"Mazagon Dock Shipbuilders Ltd","Shipbuilding","84569.63","43.66","85.64","13.55","8.00","27.95","123.69","-","73.09","96.04"
"IDBI Bank Ltd","Private Bank","83804.22","14.48","-10.93","1.64","2.75","6.47","-","1.92","56.18","5.38"
"Union Bank of India Ltd","Public Banks","83473.48","6.05","-25.56","0.86","0.71","-","4.19","3.29","53.15","19.07"
"Aurobindo Pharma Ltd","Pharmaceuticals","83286.95","26.25","31.17","2.79","2.82","13.50","34.21","0.32","64.62","54.15"
"Godrej Properties Ltd","Real Estate","82425.95","113.65","16.90","8.00","18.90","74.13","-","-","26.92","26.09"
"Oil India Ltd","Oil & Gas - Exploration & Production","82135.56","12.97","28.21","1.56","2.40","8.68","7.51","1.91","-27.42","38.95"
"NHPC Ltd","Renewable Energy","78532.08","21.67","-12.89","1.79","6.71","16.48","11.32","2.43","-7.14","3.61"
"Bharat Heavy Electricals Ltd","Heavy Electrical Equipments","77893.76","276.00","-14.01","3.19","3.18","61.09","-","0.11","-56.86","0.81"
"Muthoot Finance Ltd","Consumer Finance","77283.81","17.87","19.01","3.00","5.10","22.98","-","-","19.69","107.72"
"Adani Total Gas Ltd","Gas Distribution","77036.20","115.41","-24.12","21.52","16.98","67.03","80.66","0.04","22.14","6.07"
"PB Fintech Ltd","Online Services","74412.18","1110.96","37.65","12.66","19.49","381.78","8602.56","-","113.72","1.49"
"Prestige Estates Projects Ltd","Real Estate","74092.06","53.92","33.61","6.28","7.85","20.86","57.11","-","45.90","34.28"
"Bharti Hexacom Ltd","Telecom Services","72917.50","144.56","57.29","15.72","9.94","24.41","20.56","0.27","-8.16","10.09"
"Kalyan Jewellers India Ltd","Precious Metals Jewellery & Watches","71634.55","119.92","67.53","17.11","3.85","52.12","54.19","0.17","37.93","5.80"
"Oberoi Realty Ltd","Real Estate","71176.96","36.94","32.81","5.14","14.74","26.42","25.33","0.20","1.16","52.99"
"Alkem Laboratories Ltd","Pharmaceuticals","69999.93","38.98","24.45","6.53","5.39","28.79","35.93","0.68","82.47","150.19"
"Linde India Ltd","Commodity Chemicals","68011.18","156.68","4.51","19.61","23.83","85.19","155.65","0.15","-19.32","50.90"
"Indian Bank","Public Banks","67469.43","8.01","-2.93","1.12","1.05","2.19","-","2.40","45.18","64.95"
"SBI Cards and Payment Services Ltd","Payment Infrastructure","67149.99","27.89","-5.58","5.56","3.84","30.42","-","0.35","6.18","25.39"
"SRF Ltd","Diversified Chemicals","66642.23","49.89","-14.11","5.81","5.04","26.57","31.83","0.32","-38.23","44.91"
"Indian Railway Catering and Tourism Corporation Ltd","Online Services","66292.00","59.66","-18.46","20.53","14.92","40.76","75.15","0.78","10.46","13.89"
"PI Industries Ltd","Diversified Chemicals","66022.53","39.26","17.90","7.56","8.37","27.72","32.43","0.35","36.76","110.70"
"Bharat Forge Ltd","Iron & Steel","65415.20","68.78","16.45","9.13","4.11","25.43","39.30","0.18","80.02","20.42"
"Patanjali Foods Ltd","Packaged Foods & Meats","64342.78","84.09","19.48","6.30","2.01","41.63","36.85","-","-21.58","21.14"
"NMDC Ltd","Mining - Iron Ore","63969.26","11.48","-6.98","2.49","2.82","6.56","8.65","-","20.18","19.01"
"General Insurance Corporation of India","Insurance","63386.47","9.48","10.24","1.15","1.36","4.85","5.69","-","-3.21","38.11"
"Ashok Leyland Ltd","Trucks & Buses","62871.84","25.32","22.59","5.32","1.34","12.27","-","2.31","100.47","8.46"
"Yes Bank Ltd","Private Banks","62759.50","48.83","-21.95","1.49","1.90","20.85","6.51","-","63.39","0.45"
"Berger Paints India Ltd","Paints","62323.46","53.37","5.58","11.56","5.51","31.82","39.17","0.65","35.86","10.02"
"Schaeffler India Ltd","Auto Parts","60600.50","67.41","18.21","12.61","8.22","40.97","68.52","0.67","2.25","57.52"
"Abbott India Ltd","Pharmaceuticals","60465.21","50.34","10.61","16.35","9.87","34.33","49.86","1.44","26.52","565.30"
"JSW Infrastructure Ltd","Ports","60352.07","52.21","17.41","7.33","14.97","27.31","33.47","0.19","45.25","5.83"
"Voltas Ltd","Home Electronics & Appliances","59415.32","235.78","28.66","10.15","4.67","99.85","78.02","0.31","86.65","7.62"
"Mphasis Ltd","IT Services & Consulting","59017.79","37.96","39.06","6.71","4.37","21.65","27.08","-","-5.37","82.40"
"Supreme Industries Ltd","Plastic Products","58343.44","54.54","9.73","11.42","5.66","33.26","41.29","0.65","23.62","84.21"
"Hitachi Energy India Ltd","Heavy Electrical Equipments","58249.80","355.66","70.24","42.83","11.10","158.38","230.87","0.03","74.42","38.64"
"BSE Ltd","Stock Exchanges & Ratings","57849.03","74.32","33.54","16.75","27.60","46.30","20.35","0.35","252.60","57.48"
"Vodafone Idea Ltd","Telecom Services","57502.35","-1.84","-42.71","-0.55","1.32","16.72","2.76","-","12.81","-6.32"
"Balkrishna Industries Ltd","Tires & Rubber","56933.85","38.69","25.58","6.43","5.80","21.66","27.34","0.54","39.16","76.12"
"Thermax Limited","Industrial Machinery","56818.82","88.05","10.99","12.80","5.87","50.48","229.76","0.24","43.30","57.30"
"Motilal Oswal Financial Services Ltd","Diversified Financials","56643.08","23.20","63.79","6.46","7.94","18.75","-","0.45","162.05","41.10"
"L&T Technology Services Ltd","Software Services","56271.13","43.16","1.93","10.52","5.71","25.52","37.70","0.94","7.44","123.41"
"Phoenix Mills Ltd","Real Estate","55979.33","50.93","-1.09","4.52","13.62","26.64","25.90","0.16","-17.70","30.76"
"Fertilisers And Chemicals Travancore Ltd","Fertilizers & Agro Chemicals","55052.88","376.61","26.34","40.02","10.47","170.92","197.69","-","-76.15","2.26"
"Aditya Birla Capital Ltd","Diversified Financials","54981.20","16.49","-2.68","1.92","1.58","34.20","-","-","-33.01","13.29"
"Jindal Stainless Ltd","Iron & Steel","54260.22","20.00","-9.09","3.77","1.40","11.54","11.26","0.30","5.10","32.95"
"Sundaram Finance Ltd","Consumer Finance","54039.32","37.63","6.64","4.88","7.42","48.91","-","0.61","8.15","130.31"
"Indian Renewable Energy Development Agency Ltd","Specialized Finance","53868.18","43.02","19.33","6.29","10.85","59.93","-","-","33.09","5.04"
"UNO Minda Ltd","Auto Parts","53770.44","61.08","28.86","10.21","3.77","30.33","54.90","0.21","34.36","15.35"
"MRF Ltd","Tires & Rubber","53223.78","25.57","-2.89","3.19","2.09","11.67","16.13","0.16","170.66","4907.21"
"Procter & Gamble Hygiene and Health Care Ltd","FMCG - Personal Products","52915.87","78.39","2.36","55.93","12.43","50.80","64.08","-","-0.46","207.95"
"United Breweries Ltd","Alcoholic Beverages","52635.13","128.37","7.02","12.58","6.42","68.22","757.34","0.05","34.89","15.51"
"Lloyds Metals And Energy Ltd","Iron & Steel","52584.79","42.31","35.66","18.71","8.00","29.36","30.91","0.10","472.69","24.61"
"UCO Bank","Public Banks","52056.24","31.14","-20.69","1.91","2.07","8.08","51.97","0.64","-8.47","1.40"
"Petronet LNG Ltd","Oil & Gas - Storage & Transportation","51757.50","14.17","16.81","2.97","0.97","8.14","10.63","2.90","9.82","24.35"
"Fsn E-Commerce Ventures Ltd","Wellness Services","51262.65","1589.05","3.82","40.02","7.99","138.03","205050.60","-","67.16","0.11"
"Tata Communications Ltd","Telecom Services","50702.93","52.36","1.95","28.32","2.39","14.26","15.93","0.94","-46.08","33.98"
"Coforge Ltd","IT Services & Consulting","50428.34","62.41","44.86","13.53","5.46","34.19","55.82","0.93","15.60","131.48"
"Container Corporation of India Ltd","Logistics","49956.04","39.63","-13.54","4.18","5.42","20.21","35.98","1.40","7.38","20.69"
"Steel Authority of India Ltd","Iron & Steel","48793.90","15.91","-22.41","0.85","0.46","7.15","16.76","-","40.90","7.42"
"IDFC First Bank Ltd","Private Banks","48711.72","16.56","-20.22","1.51","1.34","8.07","4.22","-","11.04","4.30"
"AU Small Finance Bank Ltd","Consumer Finance","48482.35","31.59","6.98","3.86","3.94","18.93","18.59","0.14","4.31","22.98"
"Gujarat Fluorochemicals Ltd","Specialty Chemicals","48197.79","110.81","17.94","8.12","10.98","49.39","76.95","-","-67.27","39.60"
"Astral Ltd","Building Products - Pipes","48168.85","88.21","-8.45","14.74","8.48","49.73","58.50","0.21","39.32","20.33"
"Page Industries Ltd","Apparel & Accessories","48123.67","84.55","19.81","30.14","9.93","53.78","44.54","0.86","-0.36","510.31"
"Glenmark Pharmaceuticals Ltd","Pharmaceuticals","47574.10","-31.68","62.97","6.06","3.65","30.78","-","-","-605.17","-53.22"
"One 97 Communications Ltd","Business Support Services","47442.95","-33.48","94.70","3.57","4.51","-","72.90","-","19.42","-22.32"
"Coromandel International Ltd","Fertilizers & Agro Chemicals","47203.09","28.74","45.69","5.00","2.12","16.99","33.06","0.37","-18.55","55.81"
"Federal Bank Ltd","Private Banks","46285.75","11.93","22.74","1.50","1.73","5.08","7.20","0.63","13.65","17.05"
"Central Bank of India Ltd","Public Banks","45887.45","17.20","-17.15","1.41","1.29","1.79","-","-","58.91","3.07"
"Bank of India Ltd","Public Banks","45030.44","6.86","-31.46","0.64","0.67","-","-","2.83","62.17","15.16"
"Tata Elxsi Ltd","Software Services","44949.84","56.74","-2.41","17.94","12.23","37.48","64.10","0.97","4.91","127.21"
"Fortis Healthcare Ltd","Hospitals & Diagnostic Centres","44810.54","74.82","33.22","5.24","6.19","34.75","40.73","0.17","1.72","7.93"
