Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Colgate-Palmolive (India) Ltd","FMCG - Personal Products","90786.08","68.59","25.61","48.44","15.77","45.71","75.72","1.29","26.40","48.67"
"Hindustan Petroleum Corp Ltd","Oil & Gas - Refining & Marketing","88336.55","5.52","26.56","1.88","0.20","5.21","3.70","5.06","329.43","75.19"
"IDBI Bank Ltd","Private Bank","87825.62","15.17","-5.08","1.71","2.89","6.92","-","1.84","56.18","5.38"
"Shree Cement Ltd","Cement","87668.10","36.59","-0.40","4.23","4.15","16.36","26.19","0.43","88.53","663.98"
"GMR Airports Ltd","Construction & Engineering","87597.26","-156.63","2.36","-102.90","9.17","31.69","22.58","-","-211.99","-0.93"
"Bharat Heavy Electricals Ltd","Heavy Electrical Equipments","86233.30","305.55","-4.51","3.53","3.52","67.41","-","0.10","-56.86","0.81"
"Oil India Ltd","Oil & Gas - Exploration & Production","86193.95","13.61","33.19","1.64","2.52","9.01","7.88","1.82","-27.42","38.95"
"Marico Ltd","FMCG - Personal Products","85705.49","57.87","30.82","20.56","7.63","39.38","59.68","1.43","13.75","11.47"
"Union Bank of India Ltd","Public Banks","85236.84","6.18","-25.86","0.87","0.72","-","4.28","3.22","53.15","19.07"
"Tube Investments of India Ltd","Cycles","84861.74","70.68","23.69","12.58","4.78","30.78","125.69","0.08","25.57","62.13"
"Aurobindo Pharma Ltd","Pharmaceuticals","84811.56","26.73","35.68","2.84","2.87","13.75","34.84","0.31","64.62","54.15"
"Godrej Properties Ltd","Real Estate","84380.73","116.34","21.23","8.19","19.34","75.76","-","-","26.92","26.09"
"NHPC Ltd","Renewable Energy","82419.51","22.74","-7.34","1.88","7.04","17.05","11.88","2.32","-7.14","3.61"
"Persistent Systems Ltd","Software Services","80286.22","73.42","49.57","16.19","8.07","44.04","65.74","0.50","18.41","47.57"
"Adani Total Gas Ltd","Gas Distribution","79208.32","118.66","-21.59","22.12","17.46","68.90","82.93","0.03","22.14","6.07"
"Muthoot Finance Ltd","Consumer Finance","78084.73","18.06","18.51","3.03","5.15","23.11","-","-","19.69","107.72"
"PB Fintech Ltd","Online Services","76017.80","1134.93","39.46","12.94","19.91","390.12","8788.19","-","113.72","1.49"
"Bharti Hexacom Ltd","Telecom Services","75477.50","149.64","62.88","16.27","10.29","25.18","21.28","0.26","-8.16","10.09"
"Prestige Estates Projects Ltd","Real Estate","75476.86","54.93","40.98","6.40","8.00","21.20","58.18","-","45.90","34.28"
"Alkem Laboratories Ltd","Pharmaceuticals","73632.31","41.00","29.77","6.87","5.67","30.28","37.80","0.65","82.47","150.19"
"Kalyan Jewellers India Ltd","Precious Metals Jewellery & Watches","72603.91","121.54","75.27","17.34","3.90","52.79","54.93","0.17","37.93","5.80"
"Oberoi Realty Ltd","Real Estate","72558.64","37.66","40.23","5.24","15.03","26.92","25.82","0.20","1.16","52.99"
"Linde India Ltd","Commodity Chemicals","69697.68","160.56","12.24","20.09","24.43","87.33","159.51","0.15","-19.32","50.90"
"Indian Bank","Public Banks","69004.96","8.20","-1.64","1.14","1.07","2.33","-","2.34","45.18","64.95"
"Indian Railway Catering and Tourism Corporation Ltd","Online Services","68704.00","61.84","-14.12","21.27","15.47","42.30","77.88","0.76","10.46","13.89"
"SBI Cards and Payment Services Ltd","Payment Infrastructure","68391.40","28.40","-2.81","5.66","3.91","30.79","-","0.35","6.18","25.39"
"SRF Ltd","Diversified Chemicals","67524.09","50.55","-11.19","5.88","5.11","26.90","32.25","0.32","-38.23","44.91"
